page,key,de,en,fr,it
metrics,metrics.datasource.max,Max,Max,Max,Max
metrics,metrics.datasource.mean,Mittel,Mean,Médian,Mean
metrics,metrics.datasource.min,Min,Min,Min,Min
metrics,metrics.datasource.name,Pool-Auslastung,Pool usage,Utilisation du pool,Pool usage
metrics,metrics.datasource.p50,p50,p50,p50,p50
metrics,metrics.datasource.p75,p75,p75,p75,p75
metrics,metrics.datasource.p95,p95,p95,p95,p95
metrics,metrics.datasource.p99,p99,p99,p99,p99
metrics,metrics.datasource.title,Datenquelle (Zeit in Millisekunden),DataSource statistics (time in millisecond),Statistiques du pool de connexions (temps en millisecondes),Statistiche DataSource (in millisecondi)
metrics,metrics.datasource.usage,Usage,Usage,Usage,Utilizzo
metrics,metrics.jvm.gc.marksweepcount,Durchlaufmarkierungs (Mark Sweep) Anzahl,Mark Sweep count,"Total de ""Mark Sweep""",Mark Sweep count
metrics,metrics.jvm.gc.marksweeptime,Durchlaufmarkierungs (Mark Sweep) Zeit,Mark Sweep time,"Temps ""Mark Sweep""",Mark Sweep time
metrics,metrics.jvm.gc.scavengecount,Bereinigungslauf (Scavenge) Anzahl,Scavenge count,"Total ""Scavenge""",Scavenge count
metrics,metrics.jvm.gc.scavengetime,Bereinigungslauf (Scavenge) Zeit,Scavenge time,"Temps ""Scavenge""",Scavenge time
metrics,metrics.jvm.gc.title,Speicherbereinigung (GC),Garbage collections,Garbage collections,Garbage collections
metrics,metrics.jvm.http.active,Aktive Anfragen:,Active requests:,Requêtes actives :,Richieste attive:
metrics,metrics.jvm.http.code.notfound,Nicht gefunden,Not found,Non trouvé,Non trovato/i
metrics,metrics.jvm.http.code.ok,Ok,Ok,Ok,Ok
metrics,metrics.jvm.http.code.servererror,Server Fehler,Server Error,Erreur serveur,Errore Server
metrics,metrics.jvm.http.table.average,Mittelwert,Average,Moyenne,Media
metrics,metrics.jvm.http.table.code,Codierung,Code,Code,Codice
metrics,metrics.jvm.http.table.count,Anzahl,Count,Total,Numero
metrics,metrics.jvm.http.table.mean,Durchschnittswert,Mean,Médian,Mediana
metrics,metrics.jvm.http.title,HTTP Anfragen (Ereignisse pro Sekunde),HTTP requests (events per second),Requêtes HTTP (évènements par seconde),Richieste HTTP (eventi al secondo)
metrics,metrics.jvm.http.total,Alle Anfragen:,Total requests:,Requêtes totales :,Richieste totali:
metrics,metrics.jvm.memory.heap,Heap Speicher,Heap Memory,"Mémoire ""Heap""",Memoria Heap
metrics,metrics.jvm.memory.nonheap,Non-Heap Speicher,Non-Heap Memory,"Mémoire ""Non-Heap""",Memoria Non-Heap
metrics,metrics.jvm.memory.title,Hauptspeicher,Memory,Mémoire,Memoria
metrics,metrics.jvm.memory.total,Gesamter Hauptspeicher,Total Memory,Mémoire totale,Memoria Totale
metrics,metrics.jvm.threads.all,Alle,All,Tous,Tutti
metrics,metrics.jvm.threads.blocked,Geblockt,Blocked,Bloqué,Blocked
metrics,metrics.jvm.threads.dump.blockedcount,Geblockte Zahl,Blocked Count,Nb fois bloqué,Blocked Count
metrics,metrics.jvm.threads.dump.blockedtime,Geblockte Zeit,Blocked Time,Temps bloqué,Blocked Time
metrics,metrics.jvm.threads.dump.hide,Verstecken,Hide Stacktrace,Cacher,Hide
metrics,metrics.jvm.threads.dump.id,Id:,Id:,Id:,Id:
metrics,metrics.jvm.threads.dump.lockname,Lock-Name,Lock name,Nom du process bloquant,Lock name
metrics,metrics.jvm.threads.dump.show,Zeigen,Show Stacktrace,Afficher,Show
metrics,metrics.jvm.threads.dump.stacktrace,Stacktrace,Stacktrace,Stacktrace,Stacktrace
metrics,metrics.jvm.threads.dump.title,Threads dump,Threads dump,Threads dump,Threads dump
metrics,metrics.jvm.threads.dump.waitedcount,Gewartete Anzahl,Waited Count,Nb fois en attente,Waited Count
metrics,metrics.jvm.threads.dump.waitedtime,Gewartete Zeit,Waited Time,Temps d'attente,Waited Time
metrics,metrics.jvm.threads.runnable,Runnable,Runnable,Exécutable,Runnable
metrics,metrics.jvm.threads.timedwaiting,Wartezeit,Timed waiting,Temps d'attente,Timed waiting
metrics,metrics.jvm.threads.title,Threads,Threads,Threads,Threads
metrics,metrics.jvm.threads.waiting,Wartend,Waiting,En attente,Waiting
metrics,metrics.jvm.title,JVM Metriken,JVM Metrics,Métriques de la JVM,Metriche di JVM
metrics,metrics.refresh.button,Aktualisieren,Refresh,Rafraîchir,Aggiorna
metrics,metrics.servicesstats.table.count,Anzahl,Count,Total,Count
metrics,metrics.servicesstats.table.max,Maximum,Max,Max,Max
metrics,metrics.servicesstats.table.mean,Durchschnitt,Mean,Médian,Mean
metrics,metrics.servicesstats.table.min,Minimum,Min,Min,Min
metrics,metrics.servicesstats.table.name,Service Name,Service name,Nom du server,Nome servizio
metrics,metrics.servicesstats.table.p50,p50,p50,p50,p50
metrics,metrics.servicesstats.table.p75,p75,p75,p75,p75
metrics,metrics.servicesstats.table.p95,p95,p95,p95,p95
metrics,metrics.servicesstats.table.p99,p99,p99,p99,p99
metrics,metrics.servicesstats.title,Service Statistiken (Zeit in Millisekunden),Services statistics (time in millisecond),Statistiques des services (temps en millisecondes),Statistiche Servizi (in millisecondi)
metrics,metrics.title,Anwendungs-Metriken,Application Metrics,Métriques de l'application,Metriche dell'applicazione
metrics,metrics.updating,Aktualisierung...,Updating...,Mise à jour...,Aggiornamento...
password,password.form.button,Speichern,Save,Sauvegarder,Salva
password,password.messages.error,<strong>Es ist ein Fehler aufgetreten!</strong> Das Passwort konnte nicht geändert werden.,<strong>An error has occurred!</strong> The password could not be changed.,<strong>Une erreur est survenue !</strong> Le mot de passe n'a pas pu être modifié.,<strong>C'è stato un errore!</strong> Impossibile cambiare password.
password,password.messages.success,<strong>Passwort wurde geändert!</strong>,<strong>Password changed!</strong>,<strong>Le mot de passe a été modifié !</strong>,<strong>Password modificata correttamente!</strong>
password,password.title,Passwort für [<b>{{username}}</b>],Password for [<b>{{username}}</b>],Changer le mot de passe pour [<b>{{username}}</b>],Password per [<b>{{username}}</b>]
register,register.form.button,Registrieren,Register,Enregistrement,Crea Account
register,register.messages.error.emailexists,<strong>Email wird bereits verwendet!</strong> Bitte wählen Sie eine andere aus.,<strong>Email is already in use!</strong> Please choose another one.,<strong>Cet email est déjà utilisé !</strong> Veuillez en choisir un autre.,<strong>L'indirizzo email è già in uso</strong> Si prega di sceglierne un altro.
register,register.messages.error.fail,<strong>Registrierung fehlgeschlagen!</strong> Bitte versuchen Sie es später nochmal.,<strong>Registration failed!</strong> Please try again later.,<strong>Compte non créé !</strong> Merci d'essayer à nouveau plus tard.,<strong>La registrazione dell'account è fallita!</strong> Riprova più tardi.
register,register.messages.error.userexists,<strong>Benutzername bereits vergeben!</strong> Bitte wählen Sie einen anderen aus.,<strong>Login name already registered!</strong> Please choose another one.,<strong>Ce compte utilisateur existe déjà !</strong> Veuillez en choisir un autre.,<strong>Il nome utente scelto è già registrato!</strong> Si prega di scegliere un altro nome utente.
register,register.messages.success,<strong>Registrierung gespeichert!</strong> Bitte überprüfen Sie Ihre Emails für die Bestätigung.,<strong>Registration saved!</strong> Please check your email for confirmation.,<strong>Compte enregistré !</strong> Merci de vérifier votre email de confirmation.,<strong>La registrazione account è stata salvata!</strong> Controlla la tua email per confermare.
register,register.messages.validate.login.maxlength,Ihr Benutzername darf nicht länger als 50 Zeichen sein,Your username cannot be longer than 50 characters.,Votre nom d'utilisateur ne peut pas contenir plus de 50 caractères.,Il nome utente non può contenere più di 50 caratteri
register,register.messages.validate.login.minlength,Ihr Benutzername muss mindestens 1 Zeichen lang sein,Your username is required to be at least 1 character.,Votre nom d'utilisateur doit contenir plus d'un caractère.,Il nome utente deve essere di almeno 1 carattere
register,register.messages.validate.login.pattern,Ihr Benutzername darf nur Kleinbuchstaben und Ziffern enthalten,Your username can only contain lower-case letters and digits.,Votre nom d'utilisateur ne peut contenir que des lettres minuscules ou des nombres.,Il nome utente può contenere solo lettere minuscole e cifre.
register,register.messages.validate.login.required,Ihr Benutzername wird benötigt.,Your username is required.,Votre nom d'utilisateur est obligatoire.,Il nome utente è obbligatorio.
register,register.title,Registrierung,Registration,Création de compte utilisateur,Registrazione
reset,reset.finish.form.button,Neues Passwort setzen,Validate new password,Réinitialiser le mot de passe,Convalida la nuova password
reset,reset.finish.messages.error,Ihr Passwort konnte nicht zurückgesetzt werden. Zur Erinnerung Ihre Anfrage ist nur 24 Stunden gültig.,Your password couldn't be reset. Remember a password request is only valid for 24 hours.,Votre mot de passe n'a pas pu être réinitialisé. La demande de réinitialisation n'est valable que 24 heures.,La tua password potrebbe non essere ripristinata. Ricorda che la richiesta della password è valida solo per 24 ore.
reset,reset.finish.messages.info,Wählen Sie ein neues Passwort,Choose a new password,Choisir un nouveau mot de passe,Scegliere una nuova password
reset,reset.finish.messages.keymissing,Der Reset Schlüssel fehlt.,The reset key is missing.,La clef de réinitilisation est manquante,La chiave di reimpostazione non è presente.
reset,reset.finish.messages.success,"<strong>Ihr Passwort wurde zurückgesetzt.</strong> Bitte ","<strong>Your password has been reset.</strong> Please ","<strong>Votre mot de passe a été réinitialisé.</strong> Merci de ",<strong>La tua password è stata reimpostata .</strong> Per favore
reset,reset.finish.title,Passwort zurücksetzen,Reset password,Réinitialisation du mot de passe,Cambia Password
reset,reset.request.form.button,Passwort zurücksetzen,Reset password,Réinitialiser le mot de passe,Reimposta Password
reset,reset.request.messages.info,"Geben Sie die Email Adresse ein, welche Sie bei der Registrierung verwendet haben.",Enter the email address you used to register,Veuillez renseigner l'adresse email utilisée pour vous enregistrer,Inserisci l'indirizzo email utilizzato per la registrazione
reset,reset.request.messages.notfound,<strong>Diese Email Adresse existiert nicht!</strong> Überprüfen Sie Ihre Email Adresse und versuchen Sie es nochmal.,<strong>Email address isn't registered!</strong> Please check and try again,<strong>L'adresse email n'existe pas !</strong> Merci de la vérifier et de réessayer.,<strong>Email non registrata!</strong> Si prega di verificarla e riprovare!
reset,reset.request.messages.success,Eine Email mit weiteren Instruktionen für das Zurücksetzen des Passworts wurde gesendet.,Check your emails for details on how to reset your password.,Veuillez vérifier vos nouveaux emails et suivre les instructions pour réinitialiser votre mot de passe.,Controlla la tua email per i dettagli su come reimpostare la password.
reset,reset.request.title,Passwort zurücksetzen,Reset your password,Réinitialiser son mot de passe,Reimposta Password
sessions,sessions.messages.error,<strong>Es ist ein Fehler aufgetreten!</strong> Die Sitzung konnte nicht geschlossen werden.,<strong>An error has occurred!</strong> The session could not be invalidated.,<strong>Une erreur est survenue !</strong> La session ne peut pas être invalidée.,<strong>Si è verificato un errore!</strong> Impossibile invalidare la sessione.
sessions,sessions.messages.success,<strong>Sitzung wurde geschlossen!</strong>,<strong>Session invalidated!</strong>,<strong>La session a été invalidée !</strong>,<strong>Sessione invalidata!</strong>
sessions,sessions.table.button,Schließen,Invalidate,Invalider,Invalida
sessions,sessions.table.date,Datum,Date,Date,Data
sessions,sessions.table.ipaddress,IP Adresse,IP address,Adresse IP,Indirizzo IP
sessions,sessions.table.useragent,User Agent,User Agent,User Agent,User Agent
sessions,sessions.title,Aktive Sitzungen für [<b>{{username}}</b>],Active sessions for [<b>{{username}}</b>],Sessions actives de [<b>{{username}}</b>],Sessioni attive per [<b>{{username}}</b>]
settings,settings.form.button,Speichern,Save,Sauvegarder,Salva
settings,settings.form.firstname,Vorname,First Name,Prénom,Nome
settings,settings.form.firstname.placeholder,Ihr Vorname,Your first name,Votre prénom,Il tuo nome
settings,settings.form.language,Sprache,Language,Langue,Lingua
settings,settings.form.lastname,Nachname,Last Name,Nom,Cognome
settings,settings.form.lastname.placeholder,Ihr Nachname,Your last name,Votre nom,Il tuo cognome
settings,settings.messages.error.emailexists,<strong>Email wird bereits verwendet!</strong> Bitte wählen Sie eine andere aus.,<strong>Email is already in use!</strong> Please choose another one.,<strong>Cet email est déjà utilisé !</strong> Veuillez en choisir un autre.,<strong>L'indirizzo email è già in uso!</strong> Si prega di sceglierne un altro.
settings,settings.messages.error.fail,<strong>Es ist ein Fehler aufgetreten!</strong> Die Einstellungen konnten nicht gespeichert werden.,<strong>An error has occurred!</strong> Settings could not be saved.,<strong>Une erreur est survenue !</strong> Votre profil n'a pas été sauvegardé.,<strong>Si è verificato un errore!</strong> Impossibile salvare le impostazioni.
settings,settings.messages.success,<strong>Einstellungen wurden gespeichert!</strong>,<strong>Settings saved!</strong>,<strong>Votre profil a été sauvegardé !</strong>,<strong>Impostazioni salvate!</strong>
settings,settings.messages.validate.firstname.maxlength,Ihr Vorname darf nicht länger als 50 Zeichen sein,Your first name cannot be longer than 50 characters,Votre prénom ne doit pas comporter plus de 50 caractères.,Il nome non può contenere più di 50 caratteri
settings,settings.messages.validate.firstname.minlength,Ihr Vorname muss mindestens 1 Zeichen lang sein,Your first name is required to be at least 1 character,Votre prénom doit comporter au moins un caractère.,Il nome deve essere di almeno 1 carattere
settings,settings.messages.validate.firstname.required,Ihr Vorname wird benötigt.,Your first name is required.,Votre prénom est requis.,Il nome è obbligatorio.
settings,settings.messages.validate.lastname.maxlength,Ihr Nachname darf nicht länger als 50 Zeichen sein,Your last name cannot be longer than 50 characters,Votre nom ne doit pas comporter plus de 50 caractères.,Il cognome non può contenere più di 50 caratteri
settings,settings.messages.validate.lastname.minlength,Ihr Nachname muss mindestens 1 Zeichen lang sein,Your last name is required to be at least 1 character,Votre nom doit comporter au moins un caractère.,Il cognome deve essere di almeno 1 carattere
settings,settings.messages.validate.lastname.required,Ihr Nachname wird benötigt.,Your last name is required.,Votre nom est requis.,Il cognome è obbligatorio.
settings,settings.title,Einstellungen für Benutzer [<b>{{username}}</b>],User settings for [<b>{{username}}</b>],Profil de l'utilisateur [<b>{{username}}</b>],Impostazioni per l'utente [<b>{{username}}</b>]
user-management,userManagement.activated,Aktiv,Activated,Activé,Attivato
user-management,userManagement.created,Ein neuer Benutzer wurde mit ID {{ param }} erstellt,A new user is created with identifier {{ param }},L'utilisateur {{ param }} a été créé.,È stato creato un nuovo utente con identificativo {{ param }}
user-management,userManagement.createdBy,Erstellt von,Created by,Créé par,Creato da
user-management,userManagement.createdDate,Erstellt am,Created date,Créé le,Creato il
user-management,userManagement.deactivated,Deaktiviert,Deactivated,Désactivé,Disattivato
user-management,userManagement.delete.question,"Sind Sie sicher, dass Sie den Benutzer {{ login }} löschen möchten?",Are you sure you want to delete user {{ login }}?,Etes-vous certain de vouloir supprimer l'utilisateur {{ login }} ?,Si è sicuri di volere eliminare l'utente {{ login }}?
user-management,userManagement.deleted,Ein Benutzer mit ID {{ param }} wurde gelöscht,An user is deleted with identifier {{ param }},L'utilisateur {{ param }} a été supprimé.,È stato eliminato l'utente identificato da {{ param }}
user-management,userManagement.detail.title,Benutzer,User,Utilisateur,Utente
user-management,userManagement.email,Email,Email,Email,Email
user-management,userManagement.firstName,Vorname,First name,Prénom,Nome
user-management,userManagement.home.createLabel,Neuen Benutzer erstellen,Create a new user,Créer un nouvel utilisateur,Crea un nuovo utente
user-management,userManagement.home.createOrEditLabel,Benutzer erstellen oder bearbeiten,Create or edit a user,Créer ou éditer un utilisateur,Crea o modifica un utente
user-management,userManagement.home.title,Benutzer,Users,Utilisateurs,Utenti
user-management,userManagement.langKey,Sprache,Language,Langue,Lingua
user-management,userManagement.lastModifiedBy,Bearbeitet von,Modified by,Modifié par,Modificato da
user-management,userManagement.lastModifiedDate,Zuletzt bearbeitet,Modified date,Modifié le,Modificato il
user-management,userManagement.lastName,Nachname,Last name,Nom,Cognome
user-management,userManagement.login,Login,Login,Login,Login
user-management,userManagement.profiles,Profile,Profiles,Droits,Profili
user-management,userManagement.updated,Ein Benutzer mit ID {{ param }} wurde geändert,An user is updated with identifier {{ param }},L'utilisateur {{ param }} a été mis à jour.,Sono stato aggiornati i dati dell'utente identificato da {{ param }}
